Selected,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
"<a href =""results/Selected.html""><img src=""results/Selected.png""/></a>","<a href =""results/LoanNr_ChkDgt.html""><img src=""results/LoanNr_ChkDgt.png""/></a>","<img src=""results/Name.png""/>","<img src=""results/City.png""/>","<img src=""results/State.png""/>","<a href =""results/Zip.html""><img src=""results/Zip.png""/></a>","<img src=""results/Bank.png""/>","<img src=""results/BankState.png""/>","<a href =""results/NAICS.html""><img src=""results/NAICS.png""/></a>","<a href =""results/ApprovalDate.html""><img src=""results/ApprovalDate.png""/></a>","<a href =""results/ApprovalFY.html""><img src=""results/ApprovalFY.png""/></a>","<a href =""results/Term.html""><img src=""results/Term.png""/></a>","<a href =""results/NoEmp.html""><img src=""results/NoEmp.png""/></a>","<a href =""results/NewExist.html""><img src=""results/NewExist.png""/></a>","<a href =""results/CreateJob.html""><img src=""results/CreateJob.png""/></a>","<a href =""results/RetainedJob.html""><img src=""results/RetainedJob.png""/></a>","<a href =""results/FranchiseCode.html""><img src=""results/FranchiseCode.png""/></a>","<a href =""results/UrbanRural.html""><img src=""results/UrbanRural.png""/></a>","<img src=""results/RevLineCr.png""/>","<img src=""results/LowDoc.png""/>","<a href =""results/DisbursementDate.html""><img src=""results/DisbursementDate.png""/></a>","<a href =""results/DisbursementGross.html""><img src=""results/DisbursementGross.png""/></a>","<a href =""results/BalanceGross.html""><img src=""results/BalanceGross.png""/></a>","<img src=""results/MIS_Status.png""/>","<a href =""results/ChgOffPrinGr.html""><img src=""results/ChgOffPrinGr.png""/></a>","<a href =""results/GrAppv.html""><img src=""results/GrAppv.png""/></a>","<a href =""results/SBA_Appv.html""><img src=""results/SBA_Appv.png""/></a>","<a href =""results/New.html""><img src=""results/New.png""/></a>","<a href =""results/RealEstate.html""><img src=""results/RealEstate.png""/></a>","<a href =""results/Portion.html""><img src=""results/Portion.png""/></a>","<a href =""results/Recession.html""><img src=""results/Recession.png""/></a>","<a href =""results/daysterm.html""><img src=""results/daysterm.png""/></a>","<a href =""results/xx.html""><img src=""results/xx.png""/></a>","<a href =""results/Default.html""><img src=""results/Default.png""/></a>"
<b> Type:</b> Boolean column,<b>Type:</b> Integer<br><b>Values:</b>2090,<b>Type:</b> Categorical column<br><b>Values:</b> 1993,<b>Type:</b> Categorical column<br><b>Values:</b> 516,<b>Type:</b> Categorical column<br><b>Values:</b> 1,<b>Type:</b> Integer<br><b>Values:</b>809,<b>Type:</b> Categorical column<br><b>Values:</b> 154,<b>Type:</b> Categorical column<br><b>Values:</b> 21,<b>Type:</b> Integer<br><b>Values:</b>24,<b>Type:</b> Integer<br><b>Values:</b>1357,<b>Type:</b> Integer<br><b>Values:</b>23,<b>Type:</b> Integer<br><b>Values:</b>170,<b>Type:</b> Integer<br><b>Values:</b>83,<b>Type:</b>Float column<br><b>Values:</b>3,<b>Type:</b> Integer<br><b>Values:</b>43,<b>Type:</b> Integer<br><b>Values:</b>62,<b>Type:</b> Integer<br><b>Values:</b>33,<b>Type:</b> Integer<br><b>Values:</b>3,<b>Type:</b> Categorical column<br><b>Values:</b> 4,<b>Type:</b> Categorical column<br><b>Values:</b> 5,<b>Type:</b>Float column<br><b>Values:</b>319,<b>Type:</b> Integer<br><b>Values:</b>1179,<b>Type:</b> Integer<br><b>Values:</b>1,<b>Type:</b> Categorical column<br><b>Values:</b> 2,<b>Type:</b> Integer<br><b>Values:</b>613,<b>Type:</b> Integer<br><b>Values:</b>658,<b>Type:</b> Integer<br><b>Values:</b>752,<b> Type:</b> Boolean column,<b> Type:</b> Boolean column,<b>Type:</b>Float column<br><b>Values:</b>30,<b> Type:</b> Boolean column,<b>Type:</b> Integer<br><b>Values:</b>170,<b>Type:</b>Float column<br><b>Values:</b>1206,<b> Type:</b> Boolean column
0,1004285007,SIMPLEX OFFICE SOLUTIONS,ANAHEIM,CA,92801,CALIFORNIA BANK & TRUST,CA,532420,15074,2001,36,1,1,0,0,1,0,Y,N,15095,32812,0,P I F,0,30000,15000,0,0,0.5,0,1080,16175,0
1,1004535010,DREAM HOME REALTY,TORRANCE,CA,90505,CALIFORNIA BANK & TRUST,CA,531210,15130,2001,56,1,1,0,0,1,0,Y,N,15978,30000,0,P I F,0,30000,15000,0,0,0.5,1,1680,17658,0
0,1005005006,"Winset, Inc. dba Bankers Hill",SAN DIEGO,CA,92103,CALIFORNIA BANK & TRUST,CA,531210,15188,2001,36,10,1,0,0,1,0,Y,N,15218,30000,0,P I F,0,30000,15000,0,0,0.5,0,1080,16298,0
1,1005535001,Shiva Management,SAN DIEGO,CA,92108,CALIFORNIA BANK & TRUST,CA,531312,15719,2003,36,6,1,0,0,1,0,Y,N,15736,50000,0,P I F,0,50000,25000,0,0,0.5,0,1080,16816,0
1,1005996006,"GOLD CROWN HOME LOANS, INC",LOS ANGELES,CA,91345,SBA - EDF ENFORCEMENT ACTION,CO,531390,16840,2006,240,65,1,3,65,1,1,0,N,16903,343000,0,P I F,0,343000,343000,0,1,1,0,7200,24103,0
1,1006295003,Ronald Lee Roberts,SACRAMENTO,CA,95831,CALIFORNIA BANK & TRUST,CA,531210,15813,2003,84,1,1,0,0,1,0,Y,N,15825,55825,0,P I F,0,50000,25000,0,0,0.5,0,2520,18345,0
0,1015066002,SUPERIOR BROKERS REALTY,HUNTINGTON PARK,CA,90255,U.S. BANK NATIONAL ASSOCIATION,OH,531210,16841,2006,269,2,1,0,2,1,1,0,N,16860,297500,0,CHGOFF,247074,297500,223125,0,1,0.75,0,8070,24930,1
0,1015266003,LIBERTY REALTY CO,LONG BEACH,CA,90808,JPMORGAN CHASE BANK NATL ASSOC,NV,531210,16841,2006,84,1,2,2,1,1,2,Y,N,16860,67047,0,P I F,0,30000,15000,1,0,0.5,0,2520,19380,0
0,1018975003,"SOUTHLAND MGT., CO.",SANTA ANA,CA,92704,BANK OF AMERICA NATL ASSOC,NC,531390,16252,2004,22,5,1,0,0,1,1,N,N,16283,50000,0,CHGOFF,35333,50000,25000,0,0,0.5,0,660,16943,1
1,1022515008,"AMR Appraisals, Inc.",SAN RAMON,CA,94583,BANK OF AMERICA NATL ASSOC,NC,531320,16264,2004,84,4,2,0,0,1,1,Y,N,16314,17500,0,P I F,0,10000,5000,1,0,0.5,0,2520,18834,0
1,1030805001,Global Parties Inc. dba Party,THOUSAND OAKS,CA,91360,BANK OF AMERICA NATL ASSOC,NC,532299,16281,2004,64,6,1,0,0,1,1,Y,N,16314,50000,0,CHGOFF,47211,50000,25000,0,0,0.5,0,1920,18234,1
1,1033135007,Mitchell J Kemp dba Pacific Co,SAN FRANCISCO,CA,94103,BANK OF AMERICA NATL ASSOC,NC,531312,16286,2004,84,1,1,0,0,1,1,Y,N,16314,17536,0,P I F,0,14000,7000,0,0,0.5,0,2520,18834,0
0,1035365010,"Tenant Guarantors, Inc",GRANITE BAY,CA,95746,BANK OF AMERICA NATL ASSOC,NC,531311,16289,2004,84,12,1,0,0,1,1,Y,N,16314,33276,0,P I F,0,25000,12500,0,0,0.5,0,2520,18834,0
1,1038956001,SMOOTH AS SATIN ENTERPRISES IN,VALENCIA,CA,91354,JPMORGAN CHASE BANK NATL ASSOC,IL,531210,16846,2006,76,2,2,0,2,1,2,Y,N,16921,30000,0,CHGOFF,29700,30000,15000,1,0,0.5,0,2280,19201,1
